id,file,symbol,lines,occurrences,category,owner,migration_decision
P01-0015,Authoring/NavigationPerformanceProfile.cs,Mathf,109;127,2,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0016,Authoring/NavigationPerformanceProfile.cs,Mathf,110;111;115;116;117;118;119;120;121;122;123;124;125;126,14,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0017,Authoring/NavigationPerformanceProfile.cs,float,13;45;48;64;86,5,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0018,Authoring/NavigationPerformanceProfile.cs,float,29;31;33;35;56;57;58;59,8,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0019,Authoring/NavigationPortal.cs,Vector3,59;64;79,3,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0020,Authoring/NavigationServerSettings.cs,Mathf,50;89;197;198,4,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0021,Authoring/NavigationTestPoint.cs,Vector3,58;63,2,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0022,Editor/NavigationAgentDiagram.cs,Mathf,75;76;121;122;152;154;155,7,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0023,Editor/NavigationAgentDiagram.cs,Vector3,163;164;165;255;265;266;267;268;269,9,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0024,Editor/NavigationAgentDiagram.cs,float,16;73;74;75;76;77;119;121;122;124;147;148;152;251,14,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0025,Editor/NavigationArtifactBuilder.cs,Mathf,939;940;1277,3,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0026,Editor/NavigationArtifactBuilder.cs,RcVec3f,163;165;169;172;176;1280;1282,7,dotrecast_boundary,unity_runtime_or_baker,P05_isolate_single_JVector_RcVec3f_boundary
P01-0027,Editor/NavigationArtifactBuilder.cs,Vector3,137;138;205;206;259;260;261;262;1001;1007;1044;1045;1048;1049;1058,15,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0028,Editor/NavigationArtifactBuilder.cs,Vector3,1280,1,dotrecast_boundary,unity_runtime_or_baker,P05_isolate_single_JVector_RcVec3f_boundary
P01-0029,Editor/NavigationArtifactBuilder.cs,double,33,1,timing_or_telemetry,editor,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0030,Editor/NavigationArtifactBuilder.cs,float,849;860;990;1063;1064;1071;1133;1196;1197;1270;1272;1334;1335;1336;1339,15,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0031,Editor/NavigationArtifactIndex.cs,ArtifactsResponse,72;208;210,3,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0032,Editor/NavigationAuthoringValidator.cs,Mathf,535;570,2,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0033,Editor/NavigationBakeCommand.cs,double,67,1,timing_or_telemetry,editor,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0034,Editor/NavigationBuildProgress.cs,Mathf,41;60;62,3,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0035,Editor/NavigationBuildProgress.cs,Mathf,81;85,2,timing_or_telemetry,editor,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0036,Editor/NavigationBuildProgress.cs,double,45,1,timing_or_telemetry,editor,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0037,Editor/NavigationBuildProgress.cs,float,54;58;60;61;68,5,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0038,Editor/NavigationBuildProgress.cs,float,71,1,timing_or_telemetry,editor,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0039,Editor/NavigationEditorWindow.cs,ArtifactsResponse,2859,1,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0040,Editor/NavigationEditorWindow.cs,HealthResponse,1168;2548,2,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0041,Editor/NavigationEditorWindow.cs,Mathf,111;1837;2039;2042;2047;2059,6,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0042,Editor/NavigationEditorWindow.cs,PathRequest,1923,1,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0043,Editor/NavigationEditorWindow.cs,PathResponse,1949,1,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0044,Editor/NavigationEditorWindow.cs,Quaternion,2978,1,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0045,Editor/NavigationEditorWindow.cs,ServerVector3,1926;1927,2,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0046,Editor/NavigationEditorWindow.cs,Vector3,1825;1826;1844;1894;1895;1920;1968;2036;2042;2047;2977;2979,12,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0047,Editor/NavigationEditorWindow.cs,float,44;2026;2036;2038,4,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0048,Editor/NavigationFieldLabels.cs,Mathf,208,1,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0049,Editor/NavigationFieldLabels.cs,float,198;207,2,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0050,Editor/NavigationHighlightOverlay.cs,Mathf,798,1,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0051,Editor/NavigationHighlightOverlay.cs,Vector3,70;73;461;462;463;465;466;467;468;469;470;471;472;680;717;720;724;727;731;734;739,21,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0052,Editor/NavigationHighlightOverlay.cs,float,26;27;731;798,4,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0053,Editor/NavigationNavmeshAnalysis.cs,Mathf,64;83;129;136;307;312;327;332;333;334;335;349;350;362;363;375,16,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0054,Editor/NavigationNavmeshAnalysis.cs,Vector3,66;76;117;128;135;168;241;244;248;251;252;253;256;270;297;346,16,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0055,Editor/NavigationNavmeshAnalysis.cs,float,48;71;77;110;122;123;135;241;303;306;312;322;324;346;351,15,authoring_bake,editor_baker,P03_P05_P06_convert_boundary_and_remove_platform_math
P01-0056,Editor/NavigationPathProbe.cs,Mathf,147;148;149,3,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0057,Editor/NavigationPathProbe.cs,RcVec3f,146;156;174;291;293;296,6,dotrecast_boundary,unity_runtime_or_baker,P05_isolate_single_JVector_RcVec3f_boundary
P01-0058,Editor/NavigationPathProbe.cs,Vector3,291;296,2,dotrecast_boundary,unity_runtime_or_baker,P05_isolate_single_JVector_RcVec3f_boundary
P01-0059,Editor/NavigationPathProbe.cs,Vector3,29;40;42;123;124;225;232;298,8,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0060,Editor/NavigationPathProbe.cs,double,33,1,timing_or_telemetry,editor,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0061,Editor/NavigationPathProbe.cs,float,31;226;279,3,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0062,Editor/NavigationSceneTools.cs,Mathf,255;256,2,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0063,Editor/NavigationSceneTools.cs,Quaternion,239;305;306;319;323;395,6,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0064,Editor/NavigationSceneTools.cs,Vector3,61;63;67;69;73;75;81;125;127;135;237;239;249;250;251;256;257;261;301;302;305;306;320;324;341;344;346;356;373;377;380;384;390;402;419;422,36,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0065,Editor/NavigationSceneTools.cs,float,246;247;255;391;412;413;414,7,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0066,Editor/NavigationServerEditorClient.cs,ArtifactsResponse,154,1,wire_contract,editor_wire_client,P04_version_or_preserve_json_shape
P01-0067,Editor/NavigationServerEditorClient.cs,HealthResponse,182,1,wire_contract,editor_wire_client,P04_version_or_preserve_json_shape
P01-0068,Editor/NavigationServerEditorClient.cs,PathRequest,113,1,wire_contract,editor_wire_client,P04_version_or_preserve_json_shape
P01-0069,Editor/NavigationServerEditorClient.cs,PathResponse,123,1,wire_contract,editor_wire_client,P04_version_or_preserve_json_shape
P01-0070,Editor/NavigationServerEditorClient.cs,ServerVector3,116;117;126;135;141;143,6,wire_contract,editor_wire_client,P04_version_or_preserve_json_shape
P01-0071,Editor/NavigationServerEditorClient.cs,Vector3,146;148,2,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0072,Editor/NavigationServerEditorClient.cs,Vector3,141,1,wire_contract,editor_wire_client,P04_version_or_preserve_json_shape
P01-0073,Editor/NavigationServerEditorClient.cs,float,137;138;139,3,editor_presentation,editor_ui,retain_Unity_types_and_non_authoritative_math
P01-0074,Editor/NavigationServerUploader.cs,UploadRequest,42;84,2,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0075,Editor/NavigationServerUploader.cs,UploadResponse,61;68;92,3,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0076,Runtime/NavigationPathFingerprint.cs,Math,45,1,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0077,Runtime/NavigationPathFingerprint.cs,NavigationPathFingerprint,10,1,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0078,Runtime/NavigationPathFingerprint.cs,Vector3,12;22,2,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0079,Runtime/NavigationPathFingerprint.cs,float,43,1,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0080,Runtime/NavigationQueryScheduler.cs,Mathf,152;153;154;287,4,authoritative_runtime,runtime,P03_migrate_to_JVector_Real
P01-0081,Runtime/NavigationQueryScheduler.cs,RcVec3f,98;151;174;370;371;377;384;465;610;612;672;673;681;682,14,dotrecast_boundary,unity_runtime_or_baker,P05_isolate_single_JVector_RcVec3f_boundary
P01-0082,Runtime/NavigationQueryScheduler.cs,Vector3,37;47;56;166;182;187;188;282;309;331;436;458;462;466;485;536;644;645;653;654,20,authoritative_runtime,runtime,P03_migrate_to_JVector_Real
P01-0083,Runtime/NavigationQueryScheduler.cs,Vector3,610,1,dotrecast_boundary,unity_runtime_or_baker,P05_isolate_single_JVector_RcVec3f_boundary
P01-0084,Runtime/NavigationQueryScheduler.cs,double,70;79;114;139;507;624;629;646;655,9,authoritative_runtime,runtime,P03_migrate_to_JVector_Real
P01-0085,Runtime/NavigationQueryScheduler.cs,double,39;49;93;105;634,5,timing_or_telemetry,runtime,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0086,Runtime/NavigationQueryScheduler.cs,float,598,1,authoritative_runtime,runtime,P03_migrate_to_JVector_Real
P01-0087,Runtime/NavigationQuerySchedulerBehaviour.cs,Vector3,90;91;103,3,authoritative_runtime,runtime,P03_migrate_to_JVector_Real
P01-0088,Runtime/NavigationQuerySchedulerBehaviour.cs,float,22,1,authoritative_runtime,runtime,P03_migrate_to_JVector_Real
P01-0089,Runtime/NavigationQuerySchedulerBehaviour.cs,float,70,1,timing_or_telemetry,runtime,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0090,Runtime/NavigationServerPathClient.cs,NavigationPathFingerprint,138,1,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0091,Runtime/NavigationServerPathClient.cs,ServerPathRequest,79;156,2,wire_contract,runtime_wire_client,P04_version_or_preserve_json_shape
P01-0092,Runtime/NavigationServerPathClient.cs,ServerPathResponse,106;109;167,3,wire_contract,runtime_wire_client,P04_version_or_preserve_json_shape
P01-0093,Runtime/NavigationServerPathClient.cs,ServerVector3,83;84;160;161;170;179;185;187,8,wire_contract,runtime_wire_client,P04_version_or_preserve_json_shape
P01-0094,Runtime/NavigationServerPathClient.cs,Vector3,29;46;47;72;73;128;190;192,8,wire_boundary,runtime_wire_client,P04_convert_at_wire_boundary
P01-0095,Runtime/NavigationServerPathClient.cs,Vector3,185,1,wire_contract,runtime_wire_client,P04_version_or_preserve_json_shape
P01-0096,Runtime/NavigationServerPathClient.cs,float,181;182;183,3,wire_boundary,runtime_wire_client,P04_convert_at_wire_boundary
P01-0097,Samples~/Demos/DotRecastTopDownDemo.cs,Mathf,273;274;281,3,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0098,Samples~/Demos/DotRecastTopDownDemo.cs,Quaternion,249;251,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0099,Samples~/Demos/DotRecastTopDownDemo.cs,Vector3,20;22;33;48;49;85;86;91;92;164;170;172;202;205;206;234;235;251;255;257;274;279,22,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0100,Samples~/Demos/DotRecastTopDownDemo.cs,Vector3,248,1,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0101,Samples~/Demos/DotRecastTopDownDemo.cs,float,30;31;273;287,4,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0102,Samples~/Demos/Editor/DotRecastDemoSceneBuilder.cs,Vector3,32;33,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0103,Samples~/Demos/Editor/HybridPredictedDemoSceneBuilder.cs,Vector3,49;50,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0104,Samples~/Demos/Editor/LocalBotsDemoSceneBuilder.cs,Vector3,27;48;69;70;77;78;99;100;155;156;239;240;241;242;250;252;256;257;258;259;260;261;262;263,24,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0105,Samples~/Demos/Editor/LocalBotsDemoSceneBuilder.cs,float,90;234;235;309;310;311;312;314,8,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0106,Samples~/Demos/Editor/MultiLevelDemoSceneBuilder.cs,Vector3,29;30;78;79;87;88;96;97;105;106;114;115;124;125;133;134;142;143;148;153;229;230;254;275;278;285;307;308;309;310;323;324;325;326;336;340;341;342;343;344;345;346;347,43,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0107,Samples~/Demos/Editor/NavigationBotPrefabBuilder.cs,Mathf,135;136;137;140;141;142;151;152;153;156;157;158,12,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0108,Samples~/Demos/Editor/NavigationBotPrefabBuilder.cs,Vector3,47;70;72;73;74;75;125;127;143;144;159;160,12,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0109,Samples~/Demos/Editor/NavigationBotPrefabBuilder.cs,float,122;128;135;136;137;140;141;142;151;152;153;156;157;158,14,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0110,Samples~/Demos/HybridPredictedNavigationDemo.cs,HybridPathRequest,234;494,2,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0111,Samples~/Demos/HybridPredictedNavigationDemo.cs,HybridPathResponse,268;271;504,3,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0112,Samples~/Demos/HybridPredictedNavigationDemo.cs,Mathf,405;407;409;440,4,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0113,Samples~/Demos/HybridPredictedNavigationDemo.cs,NavigationPathFingerprint,201;292,2,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0114,Samples~/Demos/HybridPredictedNavigationDemo.cs,Vector3,20;22;26;48;49;76;167;173;177;189;190;229;230;286;331;344;347;348;359;360;364;371;373;388;406;438;522;527;529,29,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0115,Samples~/Demos/HybridPredictedNavigationDemo.cs,float,24;405;438;446;518;519;520,7,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0116,Samples~/Demos/LocalOnlyBotsNavigationDemo.cs,Mathf,340;415;416;444,4,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0117,Samples~/Demos/LocalOnlyBotsNavigationDemo.cs,Vector3,25;36;51;72;73;88;110;211;213;226;275;276;278;299;308;318;322;325;332;344;345;359;371;373;387;389;402;409;413;442;494,31,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0118,Samples~/Demos/LocalOnlyBotsNavigationDemo.cs,Vector3,277,1,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0119,Samples~/Demos/LocalOnlyBotsNavigationDemo.cs,float,19;21;27;29;31;285;301;305;320;321;338;339;442;450;492;493;497;502;503,19,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0120,Samples~/Demos/MultiLevelNavigationDemo.cs,Mathf,226;227;329,3,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0121,Samples~/Demos/MultiLevelNavigationDemo.cs,Quaternion,265,1,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0122,Samples~/Demos/MultiLevelNavigationDemo.cs,Vector3,15;17;21;28;47;48;49;55;87;188;194;205;224;234;237;238;256;257;259;261;265;274;277;281;319;320;321;325;326;327;328;336;337;344;345;352;358;364,38,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0123,Samples~/Demos/MultiLevelNavigationDemo.cs,Vector3,258,1,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0124,Samples~/Demos/MultiLevelNavigationDemo.cs,float,19;25;26;38;39;134;220;221;284;303;322;324;328;335;337;345,16,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0125,Samples~/Demos/NavigationBotAgent.cs,Mathf,142;189,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0126,Samples~/Demos/NavigationBotAgent.cs,NavigationPathFingerprint,376,1,authoritative_deterministic,runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0127,Samples~/Demos/NavigationBotAgent.cs,Quaternion,265;266,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0128,Samples~/Demos/NavigationBotAgent.cs,Vector3,87;172;180;208;210;252;253;261;265;270;323;332;350;351;390;391;467;542;559,19,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0129,Samples~/Demos/NavigationBotAgent.cs,Vector3,257,1,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0130,Samples~/Demos/NavigationBotAgent.cs,float,33;48;51;54;60;63;84;91;189,9,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0131,Samples~/Demos/NavigationDemoHub.cs,Mathf,100;266,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0132,Samples~/Demos/NavigationDemoHub.cs,float,100;101;110;113;138;140;154;259;261;313;315;316,12,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0133,Samples~/Demos/NavigationDemoHubReturn.cs,Mathf,47,1,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0134,Samples~/Demos/NavigationDemoIsometricCameraRig.cs,Mathf,94;95;98;101;102;112;127;129;130;132;138;140,12,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0135,Samples~/Demos/NavigationDemoIsometricCameraRig.cs,Quaternion,109,1,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0136,Samples~/Demos/NavigationDemoIsometricCameraRig.cs,Vector3,111;113;115;116;117;126;129;132,8,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0137,Samples~/Demos/NavigationDemoIsometricCameraRig.cs,float,19;20;21;33;34;35;92;93;94;95;98;101;102;112;118;119;137,17,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0138,Samples~/Demos/NavigationDemoMeshFactory.cs,Mathf,10;17;18;19,4,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0139,Samples~/Demos/NavigationDemoMeshFactory.cs,Vector3,12;20;21;25;27,5,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0140,Samples~/Demos/NavigationDemoMeshFactory.cs,float,8;11;17;18;19,5,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0141,Samples~/Demos/NavigationDemoPresentation.cs,Mathf,14;15;54;76;81,5,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0142,Samples~/Demos/NavigationDemoPresentation.cs,Quaternion,21,1,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0143,Samples~/Demos/NavigationDemoPresentation.cs,Vector3,20;22,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0144,Samples~/Demos/NavigationDemoPresentation.cs,float,10;18;25;26;27;38;39;40;48;51;81,11,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0145,Samples~/Demos/NavigationWaypointRoute.cs,Mathf,174,1,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0146,Samples~/Demos/NavigationWaypointRoute.cs,Vector3,37;122;131;146;164;167;170;171;172;175,10,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0147,Samples~/Demos/NavigationWaypointRoute.cs,float,28;168;174,3,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0148,Samples~/Demos/ServerNavigationTopDownDemo.cs,Mathf,395;396;403,3,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0149,Samples~/Demos/ServerNavigationTopDownDemo.cs,Quaternion,371;373,2,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0150,Samples~/Demos/ServerNavigationTopDownDemo.cs,ServerHealthResponse,133;136;480,3,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0151,Samples~/Demos/ServerNavigationTopDownDemo.cs,ServerPathRequest,174;488,2,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0152,Samples~/Demos/ServerNavigationTopDownDemo.cs,ServerPathResponse,203;206;497,3,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0153,Samples~/Demos/ServerNavigationTopDownDemo.cs,ServerVector3,177;178;235;462;473;475;491;492;500,9,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0154,Samples~/Demos/ServerNavigationTopDownDemo.cs,Vector3,27;29;40;57;58;165;256;259;260;288;289;294;295;343;356;357;373;377;379;396;401;468;470,23,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0155,Samples~/Demos/ServerNavigationTopDownDemo.cs,Vector3,370,1,timing_or_telemetry,sample_presentation,retain_native_scalar_unless_semantics_review_says_otherwise
P01-0156,Samples~/Demos/ServerNavigationTopDownDemo.cs,Vector3,473,1,wire_contract,sample_wire_client,P04_version_or_preserve_json_shape
P01-0157,Samples~/Demos/ServerNavigationTopDownDemo.cs,float,37;38;395;409;464;465;466,7,sample_presentation,samples,retain_Unity_types_adapt_to_public_API
P01-0158,Server~/Contracts.cs,ArtifactUploadRequest,73,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0159,Server~/Contracts.cs,ArtifactUploadResponse,85,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0160,Server~/Contracts.cs,ArtifactsResponse,62,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0161,Server~/Contracts.cs,HealthResponse,33,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0162,Server~/Contracts.cs,PathRequest,5,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0163,Server~/Contracts.cs,PathResponse,24,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0164,Server~/Contracts.cs,ServerArtifactDto,45;66,2,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0165,Server~/Contracts.cs,Vector3Dto,3;15;17;26,4,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0166,Server~/Contracts.cs,float,3,1,wire_contract,server_contract,P04_version_or_preserve_json_shape
P01-0167,Server~/Navigation/NavigationArtifactStore.cs,ArtifactUploadRequest,101,1,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0168,Server~/Navigation/NavigationArtifactStore.cs,ArtifactUploadResponse,99;177;188;191,4,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0169,Server~/Navigation/NavigationArtifactStore.cs,ArtifactsResponse,370;380;405,3,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0170,Server~/Navigation/NavigationArtifactStore.cs,ServerArtifactDto,375;412;437;459;461,5,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0171,Server~/Navigation/ServerNavigation.cs,Math,209,1,authoritative_server,server_runtime,P03_P06_migrate_to_JVector_Real_StableMath
P01-0172,Server~/Navigation/ServerNavigation.cs,NavigationPathFingerprint,115;186,2,authoritative_deterministic,server_runtime,P06_use_owned_StableMath_and_shared_fingerprint
P01-0173,Server~/Navigation/ServerNavigation.cs,PathRequest,37,1,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0174,Server~/Navigation/ServerNavigation.cs,PathResponse,37;147;158;160,4,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0175,Server~/Navigation/ServerNavigation.cs,RcVec3f,54;63;70;111;175;177,6,dotrecast_boundary,server_runtime,P05_isolate_single_JVector_RcVec3f_boundary
